brand,market,appliance_type,code,meaning,component,cause_category,severity,rank,rank_basis,title,steps,diy_difficulty,source_url
GE,US,oven_range,F97,An internal component needs replacement.,internal component,control_board,degraded,1.0,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the code returns, an internal component needs professional replacement.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,FC,A component in the door lock circuit failed.,door lock circuit,door_lock,stop_failure,1.0,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the door-lock circuit code returns, request service.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,FD,The meat probe or its receptacle is faulty.,meat probe,sensor,degraded,1.0,manufacturer_first,Check the probe and receptacle,"Reseat or remove the meat probe; if the code returns, the probe or its receptacle needs replacement.",moderate,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,FF,The electronic oven control needs replacement.,electronic control,control_board,stop_failure,1.0,manufacturer_first,Reset then replace the control,"Switch the breaker off for a minute or two; if the code returns, the electronic oven control needs replacement.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
Hoover,UK,washer,E00,A control module (EEPROM or main board) fault was detected.,control board,control_board,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E01,The door lock (or drum-brake safety device on older collector-motor models) is not engaging correctly.,door interlock,door_lock,stop_failure,1.0,cost_ascending,Check the door and reset,"Close the door firmly until it clicks, clear debris from the seal, and disconnect power for five to ten minutes before retrying.",easy,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E01,The door lock (or drum-brake safety device on older collector-motor models) is not engaging correctly.,door interlock,door_lock,stop_failure,2.0,cost_ascending,Replace the door lock,"If the error persists, have the interlock tested for continuity during the lock command and the door lock assembly replaced; check the control board if it continues.",professional_only,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E02,The machine is not filling within the expected time.,water inlet valve,water_supply,stop_failure,1.0,cost_ascending,Restore the water supply,"Confirm the supply is on with sufficient pressure, straighten the fill hose, verify flow into a bucket, and clean the inlet filters.",easy,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E02,The machine is not filling within the expected time.,water inlet valve,water_supply,stop_failure,2.0,cost_ascending,Replace the inlet valve,"If filling still fails, have the inlet valve coil resistance tested and the valve replaced if open-circuit or stuck; check the pressure switch and board inputs next.",professional_only,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E03,The machine is not draining within the expected time.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clear the drain filter and hose,"Unplug the machine, remove debris from the drain filter behind the lower panel, and check the rear drain hose for kinks or blockages, flushing it if needed.",moderate,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E03,The machine is not draining within the expected time.,drain pump,drainage,stop_failure,2.0,cost_ascending,Service the drain pump,"If water still will not drain, have the impeller checked for free movement, the motor continuity measured, and the pump assembly replaced if faulty.",professional_only,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E04,The NTC temperature sensor is not reading correctly.,NTC thermistor,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E05,A heating circuit fault in the element or relay was detected.,heating element,heating,degraded,1.0,cost_ascending,Reset and lighten the load,"Unplug for a few minutes, reduce the load, and restart a wash cycle.",easy,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E05,A heating circuit fault in the element or relay was detected.,heating element,heating,degraded,2.0,cost_ascending,Service the heating circuit,"Have the NTC sensor resistance measured against expected values and the heating element checked, replacing the faulty part.",professional_only,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E06,The motor tachometer or speed sensor is not reading correctly.,motor speed sensor,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E07,"A door lock fault on newer models, or a motor-triac fault on older ones.",door interlock,door_lock,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E08,A motor speed sensor (tachometer) fault was detected.,motor speed sensor,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E09,A triac fault on the control board (or motor/drum fault on older collector-motor models).,control board triac,control_board,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E10,A communication or board error was detected.,control board,communication,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E11,A fill timeout variant (or internal communication fault on older models).,water inlet valve,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E12,A motor driver fault was detected.,motor driver circuit,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E13,A pressure switch or water-level sensor fault was detected.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E14,A secondary pressure-switch reading is incorrect.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E15,The motor is drawing excessive current.,drive motor,motor,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E16,An inverter or motor driver board fault was detected.,inverter board,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E17,Overheating: the water temperature is too high.,NTC thermistor,temperature,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E18,A secondary temperature-sensor reading error was detected.,NTC thermistor,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E19,An internal data bus communication error was detected.,control board,communication,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E20,Overspeed: the drum is spinning faster than expected.,inverter board,motor,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E21,Incorrect current was detected in the motor circuit.,drive motor,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hoover,UK,washer,E22,A motor driver fault variant was detected.,inverter board,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
Hotpoint,UK,washer,F01,The electronic control board is not operating correctly.,control board,control_board,stop_failure,1.0,cost_ascending,Reset the machine,"Unplug from the mains for two to five minutes, reconnect, wait half a minute, and try a cycle.",easy,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F01,The electronic control board is not operating correctly.,control board,control_board,stop_failure,2.0,cost_ascending,Service the board and motor wiring,"Have the motor-to-board harness checked for burnt or loose pins, the motor windings tested, and the PCB (including the triac) replaced if diagnostics confirm failure.",professional_only,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F02,A motor circuit fault affecting drum rotation was detected.,drive motor,motor,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F03,The NTC temperature sensor is not reading correctly.,NTC thermistor,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F05,The machine is unable to drain its waste water.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clear the pump filter and drain hose,"Unplug the machine, clear the pump filter and drain hose, and check the pressure-switch tube for blockage - the switch stuck on full is the usual cause.",moderate,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F05,The machine is unable to drain its waste water.,drain pump,drainage,stop_failure,2.0,cost_ascending,Replace the drain pump,"If the drain path and pressure tube are clear and F05 returns, disconnect power and water and replace the drain pump.",advanced,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F06,"The drum is not rotating, from a motor or brush fault.",motor brushes,motor,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F07,A pressure-switch or water-level fault was detected.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F08,The heater relay cannot activate or is stuck; heater and pressure-switch connections are implicated.,heating relay,heating,stop_failure,1.0,cost_ascending,Reset and recheck,"Unplug for a few minutes to clear transient faults, confirm hoses are connected and unkinked, then restart.",easy,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F08,The heater relay cannot activate or is stuck; heater and pressure-switch connections are implicated.,heating relay,heating,stop_failure,2.0,cost_ascending,Service the heating circuit,"Have the heating element continuity measured, the heater relay section of the PCB inspected, and the pressure-switch wiring checked; replace whichever component fails.",professional_only,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F09,An overheating or heating-relay fault was detected.,heating relay,heating,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F10,A cold-fill or motor-control fault was detected.,water inlet valve,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F11,No hot fill on dual-inlet machines.,hot inlet valve,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F12,No mixed fill on dual-inlet machines.,inlet valves,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F13,A water-supply or inlet-valve fault was detected.,water inlet valve,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F14,The pressure switch is jammed reading empty.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F15,An electronic control board fault was detected on specific models.,control board,control_board,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F16,A door lock fault was detected on specific models.,door interlock,door_lock,degraded,1.0,cost_ascending,Replace the door interlock,"After confirming nothing blocks the door and a reset does not clear the fault, disconnect power and replace the door interlock (the component this code attributes).",advanced,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F17,A water-level fault was detected.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Hotpoint,UK,washer,F18,A drain pump fault was detected on specific models.,drain pump,drainage,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
Indesit,UK,washer,F01,The electronic control board is not operating correctly.,control board,control_board,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F02,A motor circuit fault affecting drum rotation was detected.,drive motor,motor,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F03,The NTC temperature sensor is not reading correctly.,NTC thermistor,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F04,The pressure switch registers no water or an incorrect level.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F05,The machine is unable to drain its waste water.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clear the pump filter and drain hose,"Unplug the machine, clear the pump filter and drain hose, and check the pressure-switch tube for blockage - the switch stuck on full is the usual cause.",moderate,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F05,The machine is unable to drain its waste water.,drain pump,drainage,stop_failure,2.0,cost_ascending,Replace the drain pump,"If the drain path and pressure tube are clear and F05 returns, disconnect power and water and replace the drain pump.",advanced,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F06,"The drum is not rotating, from a motor or brush fault.",motor brushes,motor,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F07,A tachogenerator or motor speed-sensor fault was detected.,tachogenerator,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F08,The heater relay cannot activate or is stuck; heater and pressure-switch connections are implicated.,heating relay,heating,stop_failure,1.0,cost_ascending,Reset and recheck,Unplug for two to five minutes and restart a short cycle.,easy,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F08,The heater relay cannot activate or is stuck; heater and pressure-switch connections are implicated.,heating relay,heating,stop_failure,2.0,cost_ascending,Service the heating circuit,"Have the heating element and NTC tested for continuity, the heater-relay section of the PCB inspected for burn marks, and the pressure-switch wiring checked.",professional_only,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F09,An overheating or heating-relay fault was detected.,heating element,heating,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F10,"A fill or motor-control fault was detected, varying by model generation.",water inlet valve,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F11,No hot fill on dual-inlet machines.,hot inlet valve,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F12,No mixed fill on dual-inlet machines.,inlet valves,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F13,A water-supply or inlet-valve fault was detected.,water inlet valve,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F15,An electronic control board fault was detected on specific models.,control board,control_board,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F16,A door lock fault was detected on specific models.,door interlock,door_lock,degraded,1.0,cost_ascending,Replace the door interlock,"After confirming nothing blocks the door and a reset does not clear the fault, disconnect power and replace the door interlock (the component this code attributes).",advanced,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F17,The pressure switch is reading an abnormal water level.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
Indesit,UK,washer,F18,A drain pump fault was detected on specific models.,drain pump,drainage,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
LG,US,dishwasher,BE,Excess suds formed from the wrong detergent or an unlevel installation.,detergent system,suds,degraded,1.0,manufacturer_first,Correct detergent and leveling,"Use only dishwasher detergent, verify the unit is level front-to-back and side-to-side, and clear existing suds before restarting.",easy,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,CL,The child-lock or control-lock feature is engaged.,control panel,informational,informational,,,,,,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,E1,Overfill or leak protection was triggered by the flow switch.,flow switch,leak,stop_failure,1.0,manufacturer_first,Dry out the flow switch,"Confirm the door seals fully and the unit is level, then unplug and let it dry completely so the flow switch resets.",moderate,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,FE,The tub filled beyond the safe level and drained automatically.,water inlet valve,water_supply,stop_failure,1.0,manufacturer_first,Power-cycle at the breaker,"Turn the unit off, switch the breaker off for ten seconds and back on, then start a new cycle; if the fault returns, service is required.",moderate,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,HE,A water-heating fault was detected.,heating element,heating,degraded,1.0,manufacturer_first,Power-cycle at the breaker,"Turn the unit off, switch the breaker off for ten seconds and back on, then start a new cycle; if the fault returns, service is required.",moderate,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,IE,Insufficient water reached the tub within the fill window.,water inlet valve,water_supply,stop_failure,1.0,manufacturer_first,Verify the water supply,"Confirm the water line is connected and the supply valve is open, check pressure is adequate, and remove any kinks in the line.",easy,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,LE,A drive-motor fault or wiring-harness problem was detected.,wash motor,motor,stop_failure,1.0,manufacturer_first,Power-cycle at the breaker,"Turn the unit off, switch the breaker off for ten seconds and back on, then start a new cycle; if the fault returns, service is required.",moderate,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,NE,The vario motor that diverts water to the spray arms is faulty.,vario motor,motor,stop_failure,1.0,manufacturer_first,Request professional service,This vario-motor fault has no user-serviceable remedy; contact a qualified service technician.,professional_only,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,OE,The tub did not empty properly during the drain phase.,drain pump,drainage,stop_failure,1.0,manufacturer_first,Clear the drain,"Check the drain hose for kinks or blockage and clear it; if connected to a disposal, confirm the drain knockout plug was removed.",moderate,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,OE,The tub did not empty properly during the drain phase.,drain pump,drainage,stop_failure,2.0,cost_ascending,Replace the drain pump motor,"If the hose and drain path are clear and the code returns, disconnect power and water and replace the drain pump motor assembly.",advanced,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,PF,A power failure occurred during the cycle.,control board,power,informational,1.0,manufacturer_first,Confirm dedicated power,"Ensure the dishwasher is on a dedicated fifteen-amp circuit without an extension cord, then press any panel key to clear the display after an outage.",easy,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dishwasher,TE,Water temperature exceeded the safe limit or the thermistor is faulty.,thermistor,temperature,degraded,1.0,manufacturer_first,Request professional service,This thermal fault has no user-serviceable remedy; contact a qualified service technician.,professional_only,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
LG,US,dryer,D80,Airflow through the exhaust duct is restricted by roughly eighty percent.,exhaust duct,ventilation,degraded,1.0,manufacturer_first,Clear the exhaust duct,Check for lint buildup at the rear exhaust duct and inspect the full run for crushed or kinked sections; use a professional vent-cleaning service for blockages inside walls.,moderate,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,D90,Airflow through the exhaust duct is restricted by roughly ninety percent.,exhaust duct,ventilation,degraded,1.0,manufacturer_first,Clear the exhaust duct,Check for lint buildup at the rear exhaust duct and inspect the full run for crushed or kinked sections; use a professional vent-cleaning service for blockages inside walls.,moderate,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,DE,The door is not fully closed or is obstructed.,door,door_lock,degraded,1.0,manufacturer_first,Reseat the filter and door,"Push the lint filter all the way in, clear any clothing from the door, then unplug for five seconds and retry the cycle.",easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,E05,A water-supply problem affected the steam cycle.,water inlet valve,water_supply,degraded,1.0,manufacturer_first,Restore steam water supply,"Check the tap is not frozen or clogged and is fully open, verify flow through the inlet hose, and clean the inlet filter.",easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,E13,"The drain hose is kinked or clogged, or sump water has frozen on condensing models.",drain hose,drainage,stop_failure,1.0,manufacturer_first,Clear the drain hose,"Straighten and unclog the drain hose (use only a standard LG hose), then press Start/Pause; request service if the error repeats.",easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,E21,Tub drainage took too long on condensing or steam models.,drain pump,drainage,stop_failure,1.0,manufacturer_first,Clear the drain path,"Straighten the drain hose, check for blockages, and clean residue from the drain pump filter.",easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,F0,The lint filter is missing or not seated correctly.,lint filter housing,ventilation,degraded,1.0,manufacturer_first,Reseat the lint filter,Remove the lint filter and reinsert it fully into the housing; request service if the code stays.,easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,GAS,No gas supply is reaching the burner on gas models.,gas valve,gas,stop_failure,1.0,manufacturer_first,Restore the gas supply,"Confirm the gas valve is fully open and the line is unkinked; contact the installer for new installations, or request service if the valve is open and the error continues.",moderate,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,HS,"The moisture (humidity) sensor is faulty, extending drying time.",humidity sensor,sensor,degraded,1.0,manufacturer_first,Clean the moisture sensors,Wipe the sensor bars below the lint filter with a damp cloth and let them dry fully before the next cycle.,easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,NP,"No current is being sensed at the heater, usually a home wiring or supply issue.",heater circuit,power,stop_failure,1.0,manufacturer_first,Verify the power connection,"Confirm the cord is secure in a grounded 240V outlet matching the rating plate, reset the breaker for ten seconds, and have an electrician verify the voltage if the code persists.",moderate,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,PF,Power to the dryer was interrupted and a reset is required.,control board,power,informational,1.0,manufacturer_first,Reset after the outage,"Unplug or trip the breaker, hold Start/Pause for five seconds while unpowered, restore power, and retry.",easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,PS,"Improper voltage at the power cord, typically from reversed terminal wiring.",power cord and terminal block,power,stop_failure,1.0,manufacturer_first,Correct the terminal wiring,"Check the power-cord installation at the terminal block for reversed white and red wires, reset the breaker, and confirm a 240V connection.",professional_only,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,TE1,The primary temperature thermistor is reporting a fault.,thermistor,temperature,degraded,1.0,manufacturer_first,Reset the dryer,"Unplug or trip the breaker, hold Start/Pause for five seconds while unpowered, restore power, and retry; request service if it returns.",easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,TE1,The primary temperature thermistor is reporting a fault.,thermistor,temperature,degraded,2.0,cost_ascending,Replace the thermistor,"If the temperature fault returns after the reset, disconnect power and replace the thermistor assembly on the blower housing.",advanced,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,dryer,TE3,A secondary temperature thermistor is reporting a fault.,thermistor,temperature,degraded,1.0,manufacturer_first,Reset the dryer,"Unplug or trip the breaker, hold Start/Pause for five seconds while unpowered, restore power, and retry; request service if it returns.",easy,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
LG,US,oven_range,5B,Sabbath mode is active.,control system,informational,informational,1.0,manufacturer_first,Exit Sabbath mode,"Press Bake, set a temperature with the plus/minus keys, press Start, then hold Clock for three seconds.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F1,The upper oven thermistor is reporting a fault.,oven thermistor,sensor,degraded,1.0,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the thermistor code persists, cycle the breaker for thirty seconds and request service if it returns.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F10,The upper oven door locking system failed.,door lock,door_lock,stop_failure,1.0,manufacturer_first,Clear and reset the door lock,"Press Clear/Off and retry; if the locking system error persists, cycle the breaker and request service.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F16,An oven sensor fault was detected.,oven sensor,sensor,degraded,1.0,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the sensor code persists, cycle the breaker and request service.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F2,The upper oven thermistor is reporting a fault.,oven thermistor,sensor,degraded,1.0,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the thermistor code persists, cycle the breaker for thirty seconds and request service if it returns.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F3,A touch pad sensor key error was detected.,touch pad,control_board,degraded,1.0,manufacturer_first,Reset at the breaker,"Cycle the circuit breaker (off thirty seconds, then on); request service if the key error returns.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F33,The front induction burner temperature sensor is faulty.,induction sensor,sensor,degraded,1.0,manufacturer_first,Reset at the breaker,"Cycle the circuit breaker (off thirty seconds, then on); request service if the sensor error returns.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F4,The lower oven thermistor is reporting a fault.,oven thermistor,sensor,degraded,1.0,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the thermistor code persists, cycle the breaker for thirty seconds and request service if it returns.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F42,A voltage error was detected.,power supply,power,degraded,1.0,manufacturer_first,Reset at the breaker,"Cycle the circuit breaker; if the voltage error returns, have the supply checked and request service.",moderate,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F51,The griddle sensor is reporting a fault.,griddle sensor,sensor,degraded,1.0,manufacturer_first,Reset at the breaker,Cycle the circuit breaker; request service if the griddle sensor error returns.,easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F56,A griddle heating error was detected.,griddle element,heating,degraded,1.0,manufacturer_first,Reset at the breaker,Cycle the circuit breaker; request service if the griddle heating error returns.,easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F6,An upper oven heating error was detected.,heating element,heating,stop_failure,1.0,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the heating error persists, cycle the breaker and request service.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F69,The sous vide function is not heating properly.,sous vide element,heating,degraded,1.0,manufacturer_first,Reset at the breaker,Cycle the circuit breaker; request service if the sous vide heating error returns.,easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F7,The upper convection fan is reporting a fault.,convection fan,fan,degraded,1.0,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the convection fan error persists, cycle the breaker and request service.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F8,The oven meat probe is reporting a fault.,meat probe,sensor,degraded,1.0,manufacturer_first,Clear and reset the probe error,"Press Clear/Off and retry; reseat or remove the meat probe, cycle the breaker if it persists.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,F9,The upper oven is not heating properly.,heating system,heating,stop_failure,1.0,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the oven still fails to heat, cycle the breaker and request service.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
